Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis
Paranormal Activity,Comedy,7.3,2008,Bryan Singer,Viola Davis,A mesmerizing Comedy story that explores the depths of human emotions and resilience.
The Incredible Hulk,Sci-Fi,6.2,2020,Zack Snyder,Jake Gyllenhaal,An intense Sci-Fi drama that keeps you on the edge of your seat.
Finding Nemo,Action,6.1,1995,Denis Villeneuve,Angelina Jolie,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
Frozen II,Thriller,9.4,2018,Greta Gerwig,Robert Downey Jr.,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Big Hero 6,Animation,8.1,1982,Robert Zemeckis,Tom Cruise,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Encanto,Romance,7.8,2003,M. Night Shyamalan,Matt Damon,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Nobody,Adventure,5.2,1997,Coen Brothers,Charlize Theron,An intense Adventure drama that keeps you on the edge of your seat.
Inferno,Fantasy,6.3,1980,Robert Zemeckis,Tom Hanks,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Blade Runner 2049,Fantasy,5.6,2006,Stanley Kubrick,Anne Hathaway,An intense Fantasy drama that keeps you on the edge of your seat.
War of the Worlds,Sci-Fi,8.4,1988,Bryan Singer,Anne Hathaway,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Snow White and the Seven Dwarfs,Thriller,5.3,2020,Denis Villeneuve,Matt Damon,An intense Thriller drama that keeps you on the edge of your seat.
Close Encounters of the Third Kind,Thriller,5.8,1996,Stanley Kubrick,Margot Robbie,A thought-provoking Thriller film that challenges perceptions of reality.
The Sixth Sense,Comedy,7.2,2017,Paul Thomas Anderson,Robert Downey Jr.,A mesmerizing Comedy story that explores the depths of human emotions and resilience.
Tron: Legacy,Action,8.1,1988,Patty Jenkins,Chris Hemsworth,An intense Action drama that keeps you on the edge of your seat.
The Matrix,Horror,7.6,2015,Peter Jackson,Gal Gadot,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
The Invisible Man,Animation,6.9,1980,Stanley Kubrick,Matt Damon,"A classic tale of love, loss, and redemption, set in a Animation world of intrigue."
World War Z,Sci-Fi,7.7,2008,Alfred Hitchcock,Chris Hemsworth,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
Hercules,Romance,5.4,1983,Christopher Nolan,Keanu Reeves,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Wanted,Sci-Fi,9.4,2024,Steven Spielberg,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Terminator 2: Judgment Day,Drama,7.0,1996,Denis Villeneuve,Jennifer Lawrence,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Wanted,Comedy,5.6,1999,Greta Gerwig,Ryan Gosling,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
War of the Worlds,Romance,5.3,1981,Wes Anderson,Will Smith,"A gripping tale of adventure and mystery, following a Romance journey like never before."
The Invisible Man,Drama,7.9,2020,Spike Lee,Margot Robbie,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Annabelle,Adventure,8.7,2017,Robert Zemeckis,Anne Hathaway,A thought-provoking Adventure film that challenges perceptions of reality.
Star Wars: A New Hope,Horror,9.2,1985,Denis Villeneuve,Margot Robbie,An intense Horror drama that keeps you on the edge of your seat.
Prisoners,Horror,8.0,2015,Patty Jenkins,Jake Gyllenhaal,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Wreck-It Ralph,Adventure,6.5,2010,Martin Scorsese,Natalie Portman,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
The King's Man,Adventure,8.6,1988,Wes Anderson,Angelina Jolie,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Memento,Fantasy,6.7,2012,Alfred Hitchcock,Chris Pratt,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Ex Machina,Comedy,8.5,1997,Peter Jackson,Emma Stone,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Looper,Fantasy,5.3,1983,Greta Gerwig,Scarlett Johansson,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Big Hero 6,Romance,7.0,2018,Spike Lee,Scarlett Johansson,A thought-provoking Romance film that challenges perceptions of reality.
Pocahontas,Sci-Fi,7.8,2018,Robert Zemeckis,Chris Pratt,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Thor: Ragnarok,Comedy,6.0,1981,Steven Spielberg,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
The Exorcist,Romance,5.9,1983,Tim Burton,Tom Cruise,A thought-provoking Romance film that challenges perceptions of reality.
The Hitman's Bodyguard,Drama,7.3,2007,Tim Burton,Joaquin Phoenix,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Doctor Strange,Horror,7.8,2011,Bryan Singer,Ryan Gosling,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
The Little Mermaid,Comedy,7.5,1999,Bryan Singer,Christian Bale,A thought-provoking Comedy film that challenges perceptions of reality.
It,Romance,9.0,2010,Patty Jenkins,Chris Pratt,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
The Lighthouse,Romance,7.5,2017,Peter Jackson,Anne Hathaway,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Inferno,Fantasy,8.2,2005,Steven Spielberg,Angelina Jolie,A thought-provoking Fantasy film that challenges perceptions of reality.
Sunshine,Fantasy,7.2,1991,Jon Favreau,Gal Gadot,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
The Godfather,Fantasy,6.0,2010,Quentin Tarantino,Denzel Washington,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Encanto,Adventure,6.5,2018,Wes Anderson,Natalie Portman,A thought-provoking Adventure film that challenges perceptions of reality.
The Lego Movie,Thriller,6.1,2004,Denis Villeneuve,Tom Hanks,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Jaws,Comedy,9.2,1983,Tim Burton,Emma Stone,An intense Comedy drama that keeps you on the edge of your seat.
A Nightmare on Elm Street,Fantasy,6.1,1998,Coen Brothers,Chris Hemsworth,A thought-provoking Fantasy film that challenges perceptions of reality.
Forrest Gump,Horror,5.3,1980,Jon Favreau,Johnny Depp,An intense Horror drama that keeps you on the edge of your seat.
John Wick,Adventure,8.4,2000,J.J. Abrams,Anne Hathaway,An intense Adventure drama that keeps you on the edge of your seat.
Interstellar,Animation,5.4,1988,Peter Jackson,Leonardo DiCaprio,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Doctor Strange,Horror,6.4,2008,Paul Thomas Anderson,Angelina Jolie,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
The Conjuring,Fantasy,9.4,2000,Alfred Hitchcock,Margot Robbie,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Star Wars: The Rise of Skywalker,Animation,8.6,2024,Quentin Tarantino,Gal Gadot,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Mulan,Romance,8.6,2014,Paul Thomas Anderson,Michael Fassbender,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Shazam!,Fantasy,9.4,2022,David Fincher,Keanu Reeves,An intense Fantasy drama that keeps you on the edge of your seat.
Avatar,Comedy,6.1,2006,Zack Snyder,Margot Robbie,An intense Comedy drama that keeps you on the edge of your seat.
Pocahontas,Sci-Fi,6.7,1984,J.J. Abrams,Scarlett Johansson,A thought-provoking Sci-Fi film that challenges perceptions of reality.
Atomic Blonde,Adventure,6.9,2003,Jon Favreau,Matt Damon,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
The Lord of the Rings: The Two Towers,Romance,7.6,2014,J.J. Abrams,Scarlett Johansson,An intense Romance drama that keeps you on the edge of your seat.
A Bug's Life,Thriller,6.5,1996,Taika Waititi,Viola Davis,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Bohemian Rhapsody,Adventure,8.4,1998,Denis Villeneuve,Ryan Gosling,A thought-provoking Adventure film that challenges perceptions of reality.
Cars,Drama,8.5,1991,Damien Chazelle,Johnny Depp,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Blade Runner 2049,Comedy,8.2,2016,Coen Brothers,Tom Hanks,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Shaun of the Dead,Adventure,6.3,2017,Wes Anderson,Natalie Portman,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Harry Potter and the Half-Blood Prince,Thriller,6.5,2005,J.J. Abrams,Jennifer Lawrence,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
The Incredibles,Adventure,5.3,2009,Alfred Hitchcock,Keanu Reeves,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue."
The Grand Budapest Hotel,Adventure,8.6,2011,Guillermo del Toro,Daniel Day-Lewis,A thought-provoking Adventure film that challenges perceptions of reality.
Bird Box,Romance,7.2,2014,Denis Villeneuve,Brad Pitt,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Star Wars: The Empire Strikes Back,Romance,6.9,2021,Robert Zemeckis,Emma Stone,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Gone Girl,Comedy,7.2,1983,Martin Scorsese,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
Man of Steel,Romance,5.2,2014,George Lucas,Robert Downey Jr.,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Toy Story,Horror,5.7,1993,James Cameron,Matt Damon,"A gripping tale of adventure and mystery, following a Horror journey like never before."
Aladdin,Fantasy,7.5,1989,Patty Jenkins,Brad Pitt,A thought-provoking Fantasy film that challenges perceptions of reality.
The Green Mile,Sci-Fi,5.6,1997,Quentin Tarantino,Scarlett Johansson,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Turning Red,Drama,7.6,2010,J.J. Abrams,Anne Hathaway,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Murder on the Orient Express,Thriller,7.2,1989,Christopher Nolan,Gal Gadot,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Joker,Horror,6.8,2003,Steven Spielberg,Viola Davis,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Jurassic Park,Horror,6.6,1990,Zack Snyder,Ryan Gosling,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Beauty and the Beast,Drama,6.3,2005,Taika Waititi,Joaquin Phoenix,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Soul,Thriller,8.2,1981,Robert Zemeckis,Johnny Depp,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
The Hateful Eight,Horror,6.0,1986,Quentin Tarantino,Viola Davis,A thought-provoking Horror film that challenges perceptions of reality.
Wall-E,Animation,7.1,2021,Quentin Tarantino,Robert Downey Jr.,"A classic tale of love, loss, and redemption, set in a Animation world of intrigue."
The Suicide Squad,Romance,6.3,2012,George Lucas,Anne Hathaway,A thought-provoking Romance film that challenges perceptions of reality.
A Bug's Life,Sci-Fi,7.8,1997,George Lucas,Keanu Reeves,A thought-provoking Sci-Fi film that challenges perceptions of reality.
Independence Day,Sci-Fi,8.6,1980,Peter Jackson,Jake Gyllenhaal,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Turning Red,Sci-Fi,7.0,1980,Quentin Tarantino,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
A Star Is Born,Fantasy,5.9,1985,Denis Villeneuve,Tom Hanks,A thought-provoking Fantasy film that challenges perceptions of reality.
Snow White and the Seven Dwarfs,Sci-Fi,5.2,1985,M. Night Shyamalan,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
Spider-Man: No Way Home,Romance,7.2,2001,Steven Spielberg,Benedict Cumberbatch,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
The Social Network,Action,9.1,2014,Francis Ford Coppola,Gal Gadot,An intense Action drama that keeps you on the edge of your seat.
Schindler's List,Comedy,6.3,1985,Stanley Kubrick,Leonardo DiCaprio,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Wonder Woman,Drama,7.2,2007,Spike Lee,Johnny Depp,"A gripping tale of adventure and mystery, following a Drama journey like never before."
The Silence of the Lambs,Sci-Fi,8.4,2007,Damien Chazelle,Robert Downey Jr.,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Cloverfield,Adventure,9.0,1986,Wes Anderson,Emma Stone,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Toy Story 4,Sci-Fi,6.1,2010,Coen Brothers,Margot Robbie,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Prisoners,Animation,7.9,1999,Robert Zemeckis,Viola Davis,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
The Grudge,Fantasy,9.4,1990,Francis Ford Coppola,Daniel Day-Lewis,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
The Fly,Drama,8.9,1995,Denis Villeneuve,Emma Stone,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Star Wars: The Force Awakens,Adventure,8.5,1989,Steven Spielberg,Gal Gadot,"A thrilling mix of Adventure and action, packed with stunning visuals and unforgettable moments."
The Lord of the Rings: The Fellowship of the Ring,Adventure,9.1,2018,James Cameron,Matt Damon,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Red Notice,Fantasy,6.4,1998,Zack Snyder,Benedict Cumberbatch,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Once Upon a Time in Hollywood,Horror,9.3,1986,Bryan Singer,Margot Robbie,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Pandorum,Thriller,7.4,2018,Robert Zemeckis,Michael Fassbender,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
The Thing,Adventure,8.0,2000,James Cameron,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Joker,Romance,5.3,1981,Christopher Nolan,Chris Hemsworth,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
28 Days Later,Thriller,8.2,2009,Jon Favreau,Natalie Portman,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
The Prestige,Comedy,7.3,2015,Spike Lee,Jake Gyllenhaal,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
The Incredibles 2,Horror,8.3,1986,Taika Waititi,Emma Stone,An intense Horror drama that keeps you on the edge of your seat.
Sherlock Holmes,Thriller,5.9,2014,Robert Zemeckis,Jennifer Lawrence,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Spider-Man: No Way Home,Sci-Fi,8.3,2002,Quentin Tarantino,Daniel Day-Lewis,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
The Emperor's New Groove,Adventure,7.3,1980,J.J. Abrams,Anne Hathaway,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
La La Land,Thriller,7.8,1992,Quentin Tarantino,Michael Fassbender,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
The Fly,Action,6.0,2006,M. Night Shyamalan,Jennifer Lawrence,A mesmerizing Action story that explores the depths of human emotions and resilience.
John Wick: Chapter 2,Action,7.2,1983,Bryan Singer,Anne Hathaway,An intense Action drama that keeps you on the edge of your seat.
The Gray Man,Romance,6.8,2022,Patty Jenkins,Gal Gadot,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Dumbo,Sci-Fi,7.1,1980,Wes Anderson,Natalie Portman,An intense Sci-Fi drama that keeps you on the edge of your seat.
Finding Dory,Horror,7.4,1995,Stanley Kubrick,Jennifer Lawrence,A mesmerizing Horror story that explores the depths of human emotions and resilience.
Hereditary,Thriller,7.1,2005,Ridley Scott,Will Smith,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Whiplash,Adventure,8.1,2005,David Fincher,Christian Bale,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Morbius,Romance,5.4,1997,Martin Scorsese,Chris Pratt,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Shazam!,Drama,5.6,2010,Denis Villeneuve,Matt Damon,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Se7en,Comedy,6.6,2009,George Lucas,Denzel Washington,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
E.T. the Extra-Terrestrial,Sci-Fi,7.4,2019,Steven Spielberg,Charlize Theron,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Fight Club,Action,8.1,2018,Denis Villeneuve,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
Marriage Story,Sci-Fi,8.4,2005,Steven Spielberg,Johnny Depp,An intense Sci-Fi drama that keeps you on the edge of your seat.
Speed Racer,Romance,8.4,2012,Ridley Scott,Margot Robbie,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Us,Action,8.7,1996,Alfred Hitchcock,Johnny Depp,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
The Fly,Romance,7.6,1985,Martin Scorsese,Hugh Jackman,A thought-provoking Romance film that challenges perceptions of reality.
Harry Potter and the Chamber of Secrets,Romance,7.0,2019,Patty Jenkins,Michael Fassbender,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Speed Racer,Comedy,5.7,2004,Peter Jackson,Robert Downey Jr.,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
The Hunchback of Notre Dame,Horror,5.9,1996,Tim Burton,Emma Stone,"A gripping tale of adventure and mystery, following a Horror journey like never before."
Children of Men,Fantasy,9.2,1999,Spike Lee,Gal Gadot,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
Annabelle,Sci-Fi,9.1,2005,Steven Spielberg,Gal Gadot,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
I Am Legend,Action,7.1,2018,J.J. Abrams,Keanu Reeves,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
Edge of Tomorrow,Action,5.7,1997,Guillermo del Toro,Matt Damon,A mesmerizing Action story that explores the depths of human emotions and resilience.
Scream,Horror,9.5,2017,Ridley Scott,Matt Damon,A mesmerizing Horror story that explores the depths of human emotions and resilience.
The Da Vinci Code,Sci-Fi,8.0,2019,Wes Anderson,Hugh Jackman,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Harry Potter and the Goblet of Fire,Action,7.2,2005,Ridley Scott,Joaquin Phoenix,A mesmerizing Action story that explores the depths of human emotions and resilience.
World War Z,Animation,8.6,2017,Guillermo del Toro,Hugh Jackman,A thought-provoking Animation film that challenges perceptions of reality.
Forrest Gump,Romance,7.9,2009,Bryan Singer,Will Smith,An intense Romance drama that keeps you on the edge of your seat.
Hereditary,Adventure,7.2,2012,Denis Villeneuve,Tom Cruise,An intense Adventure drama that keeps you on the edge of your seat.
Pocahontas,Comedy,5.4,2004,Greta Gerwig,Daniel Day-Lewis,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Batman Begins,Fantasy,8.1,2020,Stanley Kubrick,Tom Hanks,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
E.T. the Extra-Terrestrial,Thriller,5.6,2002,David Fincher,Leonardo DiCaprio,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
Terminator 2: Judgment Day,Horror,6.0,2017,Jon Favreau,Matt Damon,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
Glass Onion,Romance,6.0,1988,Robert Zemeckis,Chris Hemsworth,"A thrilling mix of Romance and action, packed with stunning visuals and unforgettable moments."
Braveheart,Thriller,9.3,1984,George Lucas,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
Rocketman,Adventure,6.8,1993,Stanley Kubrick,Chris Pratt,An intense Adventure drama that keeps you on the edge of your seat.
Jaws,Comedy,6.9,2006,M. Night Shyamalan,Denzel Washington,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
The Road,Thriller,5.3,1988,Peter Jackson,Brad Pitt,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
The Lion King,Action,7.3,2016,Taika Waititi,Gal Gadot,An intense Action drama that keeps you on the edge of your seat.
The Green Mile,Sci-Fi,9.3,1998,Alfred Hitchcock,Daniel Day-Lewis,A thought-provoking Sci-Fi film that challenges perceptions of reality.
La La Land,Animation,8.9,2005,Greta Gerwig,Angelina Jolie,An intense Animation drama that keeps you on the edge of your seat.
Sleeping Beauty,Sci-Fi,7.5,1993,Patty Jenkins,Denzel Washington,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
The Invisible Man,Horror,6.6,1995,Peter Jackson,Tom Hanks,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Annihilation,Drama,9.1,1997,Spike Lee,Scarlett Johansson,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Dumbo,Horror,5.9,2022,Damien Chazelle,Emma Stone,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
Marriage Story,Comedy,7.0,1999,Damien Chazelle,Tom Hanks,An intense Comedy drama that keeps you on the edge of your seat.
Whiplash,Adventure,6.8,2008,J.J. Abrams,Denzel Washington,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Aladdin,Sci-Fi,6.5,1996,Quentin Tarantino,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
War of the Worlds,Thriller,8.7,2002,Zack Snyder,Michael Fassbender,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
Pocahontas,Comedy,6.7,1993,Patty Jenkins,Keanu Reeves,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
Gone Girl,Comedy,5.8,2012,Tim Burton,Denzel Washington,An intense Comedy drama that keeps you on the edge of your seat.
Bohemian Rhapsody,Action,9.2,1984,Guillermo del Toro,Chris Pratt,"A gripping tale of adventure and mystery, following a Action journey like never before."
Gone Girl,Sci-Fi,5.5,2008,Greta Gerwig,Matt Damon,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Star Wars: The Last Jedi,Adventure,7.6,1997,Tim Burton,Emma Stone,An intense Adventure drama that keeps you on the edge of your seat.
The Green Mile,Horror,6.8,2011,Bryan Singer,Tom Hanks,An intense Horror drama that keeps you on the edge of your seat.
